numero,pregunta,A,B,C,D,letra_correcta,texto_respuesta_correcta,bloque_bruto
1,Seleccione la respuesta que no corresponde con los requisitos que debemos tener en cuenta a la hora de escuchar,Suspender todo tipo de juicio o prejuicio sobre la persona que nos está hablando.,Adoptar una actitud empática.,Todas las respuestas de los pacientes necesitan una retroalimentación verbal.,Respeto o aceptación incondicional de la persona. Respuesta Correcta: C,C,Todas las respuestas de los pacientes necesitan una retroalimentación verbal.,"1. Seleccione la respuesta que no corresponde con los requisitos que debemos tener en cuenta a la hora de
escuchar:
A) Suspender todo tipo de juicio o prejuicio sobre la persona que nos está hablando.
B) Adoptar una actitud empática.
C) Todas las respuestas de los pacientes necesitan una retroalimentación verbal.
D) Respeto o aceptación incondicional de la persona.
Respuesta Correcta: C"
2,El estilo de comunicación recomendado en las relaciones con los pacientes es,Paternalista.,Asertivo.,Agresivo.,Pasivo. Respuesta Correcta: B,B,Asertivo.,"2. El estilo de comunicación recomendado en las relaciones con los pacientes es:
A) Paternalista.
B) Asertivo.
C) Agresivo.
D) Pasivo.
Respuesta Correcta: B"
3,¿Qué es la asertividad?,"Elevar el tono de voz en comunicación, para apoyar lo que se dice.","Capacidad de defender los propios pensamientos y sentimientos, sin vulnerar los derechos de los demás.","Negar con la cabeza lo que el otro dice, cuando estamos seguros de que no es verdad.","Dar siempre la razón al otro, para evitar conflictos. Respuesta Correcta: B",B,"Capacidad de defender los propios pensamientos y sentimientos, sin vulnerar los derechos de los demás.","3. ¿Qué es la asertividad?
A) Elevar el tono de voz en comunicación, para apoyar lo que se dice.
B) Capacidad de defender los propios pensamientos y sentimientos, sin vulnerar los derechos de los demás.
C) Negar con la cabeza lo que el otro dice, cuando estamos seguros de que no es verdad.
D) Dar siempre la razón al otro, para evitar conflictos.
Respuesta Correcta: B"
4,¿Cómo debe comunicarse el/la celador/a con el paciente y su familia?,Utilizando términos técnicos para dar una información adecuada.,Evitando usar un lenguaje amigable.,Observando sus conductas y actitudes para comprenderles.,Evitando implicarse. Respuesta Correcta: C,C,Observando sus conductas y actitudes para comprenderles.,"4. ¿Cómo debe comunicarse el/la celador/a con el paciente y su familia?
A) Utilizando términos técnicos para dar una información adecuada.
B) Evitando usar un lenguaje amigable.
C) Observando sus conductas y actitudes para comprenderles.
D) Evitando implicarse.
Respuesta Correcta: C"
5,"Con carácter general, ¿cómo se facilitará la información asistencial al paciente?",De forma discontinua según la conveniencia del centro sanitario. Página 1 de 74 En la dirección    documento electrónico siguiente:  0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu,Veraz y referida exclusivamente al diagnóstico.,"Veraz, razonable y suficiente.","Verbalmente, sin dejar constancia en la historia clínica. Respuesta Correcta: C",C,"Veraz, razonable y suficiente.","5. Con carácter general, ¿cómo se facilitará la información asistencial al paciente?
A) De forma discontinua según la conveniencia del centro sanitario.
Página 1 de 74
En la dirección 
 
documento electrónico siguiente:
 0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu
 
 
 
 
 
 
B) Veraz y referida exclusivamente al diagnóstico.
C) Veraz, razonable y suficiente.
D) Verbalmente, sin dejar constancia en la historia clínica.
Respuesta Correcta: C"
6,"El tipo de comunicación que debe utilizar el/la celador/a con el paciente, desde el punto de vista personal es el",Contractual.,Solidario.,Cooperativo.,Asertivo. Respuesta Correcta: D,D,Asertivo. Respuesta Correcta: D,"6. El tipo de comunicación que debe utilizar el/la celador/a con el paciente, desde el punto de vista personal es el:
A) Contractual.
B) Solidario.
C) Cooperativo.
D) Asertivo.
Respuesta Correcta: D"
7,"El proceso mediante el cual las personas interpretan y organizan la información con la finalidad de darle significado y compresión a su mundo, recibe el nombre de",Percepción.,Pensamiento.,Sentimiento.,Intencionalidad. Respuesta Correcta: A,A,Percepción.,"7. El proceso mediante el cual las personas interpretan y organizan la información con la finalidad de darle
significado y compresión a su mundo, recibe el nombre de:
A) Percepción.
B) Pensamiento.
C) Sentimiento.
D) Intencionalidad.
Respuesta Correcta: A"
8,"El celador en el ejercicio de sus funciones, para comunicarse con el paciente y su familia utilizará, señale la respuesta INCORRECTA",Evitará utilizar términos técnicos.,Evitará hacer juicios de valor.,Optará por una actitud apática.,Optará por una actitud de respeto y compresión. Respuesta Correcta: C,C,Optará por una actitud apática.,"8. El celador en el ejercicio de sus funciones, para comunicarse con el paciente y su familia utilizará, señale la
respuesta INCORRECTA:
A) Evitará utilizar términos técnicos.
B) Evitará hacer juicios de valor.
C) Optará por una actitud apática.
D) Optará por una actitud de respeto y compresión.
Respuesta Correcta: C"
9,"Entre los factores que obstaculizan la comunicación interpersonal del/a celador/a con el paciente y la familia, se puede citar",Usar terminología científica. Página 2 de 74 En la dirección    documento electrónico siguiente:  0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu,"Hablar correctamente, con lógica y precisión.",Evitar comentarios improcedentes o innecesarios.,Todas las respuestas anteriores son correctas. Respuesta Correcta: A,A,Usar terminología científica. Página 2 de 74 En la dirección    documento electrónico siguiente:  0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu,"9. Entre los factores que obstaculizan la comunicación interpersonal del/a celador/a con el paciente y la familia, se
puede citar:
A) Usar terminología científica.
Página 2 de 74
En la dirección 
 
documento electrónico siguiente:
 0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu
 
 
 
 
 
 
B) Hablar correctamente, con lógica y precisión.
C) Evitar comentarios improcedentes o innecesarios.
D) Todas las respuestas anteriores son correctas.
Respuesta Correcta: A"
10,El comportamiento del/la celador/a delante del paciente y sus familiares debe ser,Altivo y concreto.,Cortante y conciso.,Humano y delicado.,Apático e indiferente. Respuesta Correcta: C,C,Humano y delicado.,"10. El comportamiento del/la celador/a delante del paciente y sus familiares debe ser:
A) Altivo y concreto.
B) Cortante y conciso.
C) Humano y delicado.
D) Apático e indiferente.
Respuesta Correcta: C"
11,"En el proceso de la comunicación, las interferencias hacen referencia a",La interpretación continua de respuestas del emisor y del receptor.,El entorno en que tiene lugar la comunicación.,Las barreras que existen en el proceso de la comunicación.,La información transmitida. Respuesta Correcta: C,C,Las barreras que existen en el proceso de la comunicación.,"11. En el proceso de la comunicación, las interferencias hacen referencia a:
A) La interpretación continua de respuestas del emisor y del receptor.
B) El entorno en que tiene lugar la comunicación.
C) Las barreras que existen en el proceso de la comunicación.
D) La información transmitida.
Respuesta Correcta: C"
